Name,Class,,,,,,Group
Steel Furniture Mistry,2,2,2,2,2,2,Mistry
Rod Mistry/Rod cutter,2,2,2,2,2,2,Mistry
Mason-ordinary,4,2,2,2,2,2,Mistry
Painters ,2,2,2,2,2,2,Mistry
Carpenter,2,2,2,2,2,2,Mistry
Gas welder,2,2,2,2,2,2,Welders
Electrical welders ,2,2,N/A,2,0,N/A,Welders
Ordinary workers,2,2,2,2,2,2,Workers
(abroad),2,2,2,2,2,2,Workers
Jute Mills workers,4,2,2,2,2,2,Workers
Factory workers,2,2,0,N/A,N/A,2,Workers
Coastal & deep sea fishing,4,4,4,4,4,4,Fishermen
River fishing,2,2,2,2,2,2,Fishermen
Pond & others ,0,N/A,N/A,N/A,0,N/A,Fishermen
Fish Business ,0,N/A,N/A,N/A,0,N/A,Fishermen
"Heavy-Truck, Bus, Mini Bus",2,2,2,2,2,2,Drivers & helper 
"Light-Car, Micro Bus ",2,N/A,2,N/A,0,2,Drivers & helper 
"Auto Rickshaws, Scoters, Tempo van",4,4,4,Declined,4,4,Drivers & helper 
Van/Cart Pullers   ,-1,4,4,Declined,4,4,Drivers & helper 
Rickshaws Pullers,4,4,4,Declined,4,4,Drivers & helper 
Officer,0,N/A,N/A,N/A,0,N/A,Armed force (army)
Others ranks,0,N/A,N/A,N/A,0,2,Armed force (army)
Constable,2,2,2,2,2,2,Police
Armed Police,2,2,2,2,2,2,Police
Sergeant/Sub-Inspector,2,2,2,2,2,2,Police
Officer,0,N/A,N/A,N/A,0,2,Police
Soldier,0,N/A,N/A,N/A,0,2,Navy
Others ranks,0,N/A,N/A,N/A,0,2,Navy
Ship technician & other workers ,2,N/A,N/A,N/A,0,2,Navy
Diver (river & pond)   ,4,4,4,4,4,4,Navy
Officer & others ,0,N/A,N/A,N/A,0,N/A,Air force (Non Aviation)
Commercial aviation & private aircraft.  ,0,Based on Aviation Questionnaire,Based on Aviation Questionnaire,Based on Aviation Questionnaire,Refer to Head Office,,Air force (Aviation)
Officers  ,0,N/A,N/A,N/A,0,N/A,Forest
Employees,0,N/A,N/A,N/A,0,N/A,Forest
Workers/Guards,2,2,2,2,2,2,Forest
Lumber man  ,2,2,2,2,2,2,Forest
Electrician-Worker climbing poles (under the voltage 400 Or over)  ,4,2,2,2,2,4,Electrical Industry
Electrician-workers in houses or office if voltage is less than 400 ,2,N/A,N/A,N/A,0,2,Electrical Industry
Electrician-works as a linesman ,4,2,2,2,2,2,Electrical Industry
Blacksmiths (Kvgvi),2,2,2,2,2,2,
Potter  (Kygvi),2,2,2,2,2,2,
Butcher   (KkvB),2,2,2.5,2.5,2,2.5,
Cattle Businessmen ,0,N/A,N/A,N/A,0,N/A,
Gram police/Night Guard,2,2,2,2,2,2,
Goldsmith  (¯^b©Kvi),2,N/A,N/A,N/A,0,N/A,
Loom operator (ZvuZx),2,2,N/A,N/A,0,N/A,
Auto Rikshaw repairer,2,2,N/A,N/A,0,N/A,
Handicraft workers,2,N/A,N/A,N/A,0,N/A,
